# file...... time_results/meter_data_no1547_zip/current/m652.csv
# date...... Wed May  2 01:07:02 2018
# user...... ericlinxie
# host...... (null)
# target.... meter 61
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_current_A.real,measured_current_A.imag,measured_current_B.real,measured_current_B.imag,measured_current_C.real,measured_current_C.imag
2000-08-02 11:52:36 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:37 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:38 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:39 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:40 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:41 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:42 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:43 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:44 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:45 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:46 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:47 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:48 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:49 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:50 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:51 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:52 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:53 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:54 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:55 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:56 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:57 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:58 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:52:59 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:00 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:01 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:02 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:03 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:04 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:05 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:06 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:07 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:08 HDT,+57.7922,-29.5906,+0,+0,+0,+0
2000-08-02 11:53:09 HDT,+57.7922,-29.5906,+0,+0,+0,+0
