# file...... power_pv.csv,,,,,,,,,,,,,,,,,,,
# date...... Tue Sep 12 15:20:27 2017,,,,,,,,,,,,,,,,,,,
# user...... ericlinxie,,,,,,,,,,,,,,,,,,,
# host...... (null),,,,,,,,,,,,,,,,,,,
# group..... class=meter,,,,,,,,,,,,,,,,,,,
# property.. measured_power,,,,,,,,,,,,,,,,,,,
# limit..... 0,,,,,,,,,,,,,,,,,,,
# interval.. 0,,,,,,,,,,,,,,,,,,,
# timestamp,m633,m630,m632,m650,m680,m684,m634,m645,m646,m652,m671,m675,m692,m611,,,,,
2000-08-02 10:00:00 HDT,299361,1540430,1451820,1540430,-291932,84900.5,290000,268392,142949,96184.9,662181,-204655,-30884.9,-11693.3,5837483.2,-291932,1540430,4588985.2,3340487.2
2000-08-02 11:00:00 HDT,299405,1848220,1733950,1848220,-65284.8,87063.2,290000,267475,142035,95962,917930,-198292,-23635.7,-9303.56,7233744.14,-65284.8,1848220,5450808.94,3667873.74
2000-08-02 12:00:00 HDT,299118,2054250,1558910,2054250,-1050930,106984,290000,270211,144762,105200,274463,-242003,-45487.5,1412.7,5821140.2,-1050930,2054250,4817820.2,3814500.2
2000-08-02 13:00:00 HDT,299375,3010450,2555710,3010450,44350.6,106146,290000,265942,140507,101464,1344520,-203318,-12904.6,4309.08,10957001.08,44350.6,3010450,7902200.48,4847399.88
2000-08-02 14:00:00 HDT,299347,3007790,2511520,3007790,-84199.1,108191,290000,266033,140597,102171,1250880,-207813,-14966.6,5651.13,10682991.43,-84199.1,3007790,7759400.53,4835809.63
2000-08-02 15:00:00 HDT,299441,2913020,2573480,2913020,296436,102019,290000,265082,139649,99541.8,1500260,-192685,-7305.09,2096.18,11194054.89,296436,2913020,7984598.89,4775142.89
2000-08-02 16:00:00 HDT,299408,2554450,2280480,2554450,131198,98653,290000,266010,140574,98810,1277430,-197447,-13894.6,-542.046,9779579.354,131198,2554450,7093931.354,4408283.354
2000-08-02 17:00:00 HDT,299546,2195780,2102680,2195780,386767,84699.5,290000,265317,139884,93634.4,1333020,-178507,-8953.03,-9344.56,9190303.31,386767,2195780,6607756.31,4025209.31
2000-08-02 18:00:00 HDT,299826,1709440,1571450,1709440,99556.9,57808.1,290000,264057,138628,84620.4,852174,-150160,-7419.24,-27270.3,6892150.86,99556.9,1709440,5083153.96,3274157.06
2000-08-02 19:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 20:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 21:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 22:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-02 23:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
2000-08-03 00:00:00 HDT,299881,1697210,1504600,1697210,0,53743.5,290000,263717,138289,83295.2,745897,-145407,-6974.87,-30017.4,6591443.43,0,1697210,4894233.43,3197023.43
